class_name,subject,topic,question,answer,correct
IX,Science,Force and Laws Of Motion,<p>A person throws a ball vertically upward with an initial velocity of 15 m/s. How high it goes?</p>,|11.5m|12.5m|8m|6m,11.5m
IX,Science,Force and Laws Of Motion,<p>A rider on horse falls back when horse starts running, all of a sudden because</p>,|rider is taken back|rider is suddenly afraid of falling|inertia of rest keeps the upper part of body at rest while lower part of the body moves forward with the horse|none of the above,inertia of rest keeps the upper part of body at rest while lower part of the body moves forward with
IX,Science,Force and Laws Of Motion,<p>What is the weight on earth of a 50 kg person?</p>,|490 N|9.8 N|50 N|Not enough information,490 N
IX,Science,Force and Laws Of Motion,<p>A car is travelling with a speed of 36 km/hr. The driver applies the brakes and retard the car uniformly. The car is stopped in 5 seconds. The distance travelled before it is stopped after applying,|20 m|25 m|30 m|35 m,25 m
IX,Science,Force and Laws Of Motion,<p>Each question contains Statement-1 (Assertion) and Statement-2 (Reason). Each Question has 5 choices a, b, c, d, e out of which ONLY ONE is correct. Statement 1 : The motion of a body moving in a c,|Statement 1 is true, Statement-2 is true. Statement 2 is a correct explanations for Statement 1.|Statement 1 is true, Statement 2 is true. Statement 2 is NOT correct explanation for Statement 1.|Stat,Statement 1 is true, Statement-2 is true. Statement 2 is a correct explanations for Statement 1.
IX,Science,Force and Laws Of Motion,<p>Force cannot change</p>,|The state of rest of a body|The mass of a body|The shape of a body|The state of motion of a body,The mass of a body
IX,Science,Force and Laws Of Motion,<p>The chance of vehicle to over turn whole negotiating a circular path depends on</p>,| speed of the vehicle only|radius of the circular path only|speed and height of the vehicle and radius of the circular path|height of the vehicle only,speed and height of the vehicle and radius of the circular path
IX,Science,Force and Laws Of Motion,<p><img style="height: auto !important; max-width: 561px;" src="http://qbimg.simplylearnt.com/weekly_test/ntse/science/motion_and_force/questions/ques5.gif" alt="" width="100%" /></p>,|Uniform, accelerated|Uniform, decelerated|Non-uniform, accelerated|There is not enough data for generalization,Non-uniform, accelerated
IX,Science,Force and Laws Of Motion,<p>A bicycle averages 4.5 meters per second while travelling for 10 minutes. How far does it travel?</p>,|2700 m|2800 m|2500 m|2400 m,2700 m
IX,Science,Force and Laws Of Motion,<p>If a car can accelerate at 3.2 meters per second squared, how long will it take to speed up from 15 meters per second to 22 meters per second</p>,|2.2 s|1.2 s|5 s|4 s,2.2 s
